Journey,Screen / Page,Route,UI Element Type,Translation Key,Current Arabic,Current English,File Path,Line Number,Character or Space Constraint,Variables / Interpolation,Notes
"12. Account, notifications & settings",Settings,/settings,Form label,settings.verificationReasonLabel,السبب:,Reason:,client/src/lib/i18n.tsx,80,,,
"12. Account, notifications & settings",Settings,/settings,Text,settings.verificationRejected,تم رفض التحقق,Verification rejected,client/src/lib/i18n.tsx,79,,,
"12. Account, notifications & settings",Settings,/settings,Helper text,settings.verificationRejectedDesc,لم يتم قبول مستنداتك. يُرجى إعادة رفعها والمحاولة مرة أخرى.,Your documents were not accepted. Please re-upload them to try again.,client/src/lib/i18n.tsx,81,,,
"12. Account, notifications & settings",Settings,/settings,Text,settings.verifyNow,وثّق الآن ←,Verify now →,client/src/lib/i18n.tsx,76,,,
"12. Account, notifications & settings",Settings,/settings,Text,settings.viewActivity,عرض النشاط,View activity,client/src/lib/i18n.tsx,107,,,
"12. Account, notifications & settings",Settings,/settings,Notification,settings.viewAllNotifications,عرض جميع الإشعارات,View all notifications,client/src/lib/i18n.tsx,65,Toast — ~2 lines max,,
"12. Account, notifications & settings",Settings,/settings,Text,settings.viewPublicProfile,عرض الملف العام,View public profile,client/src/lib/i18n.tsx,85,,,
"12. Account, notifications & settings",Settings,/settings,Form label,settings.youLabel,(أنت),(you),client/src/lib/i18n.tsx,106,,,
"13. Errors, empty states & system",Admin (admin),/admin/*,Text,admin.actionNeeded,يتطلب إجراء,Action needed,client/src/lib/i18n.tsx,2155,,,
"13. Errors, empty states & system",Admin (admin),/admin/*,Text,admin.activeTenders,المناقصات النشطة,Active Tenders,client/src/lib/i18n.tsx,2034,,,
"13. Errors, empty states & system",Admin (admin),/admin/*,Text,admin.activeVendors,الموردون النشطون,Active Vendors,client/src/lib/i18n.tsx,2033,,,
"13. Errors, empty states & system",Admin (admin),/admin/*,Text,admin.addVerificationNotes,أضف ملاحظات التحقق...,Add any verification notes...,client/src/lib/i18n.tsx,2064,,,
"13. Errors, empty states & system",Admin (admin),/admin/*,Text,admin.addVerificationNotesPh,أضف أي ملاحظات حول التوثيق...,Add any verification notes...,client/src/lib/i18n.tsx,2242,,,
"13. Errors, empty states & system",Admin (admin),/admin/*,Text,admin.adminActionsRecorded,ستُسجَّل إجراءات المشرف هنا,Admin actions will be recorded here,client/src/lib/i18n.tsx,2214,,,
"13. Errors, empty states & system",Admin (admin),/admin/*,Text,admin.adminBadge,مشرف,Admin,client/src/lib/i18n.tsx,2209,,,
"13. Errors, empty states & system",Admin (admin),/admin/*,Text,admin.adminDashboard,لوحة تحكم المشرف,Admin Dashboard,client/src/lib/i18n.tsx,2016,,,
"13. Errors, empty states & system",Admin (admin),/admin/*,Helper text,admin.adminDashboardDesc,إدارة عمليات المنصة ومتابعة المقاييس الرئيسية,Manage platform operations and monitor key metrics,client/src/lib/i18n.tsx,2017,,,
"13. Errors, empty states & system",Admin (admin),/admin/*,Form label,admin.adminLabel,المشرف:,Admin:,client/src/lib/i18n.tsx,2121,,,
"13. Errors, empty states & system",Admin (admin),/admin/*,Text,admin.adminNote1,• يتمتع المشرفون بوصول كامل إلى جميع عمليات المنصة,• Admin users have full access to all platform operations,client/src/lib/i18n.tsx,2136,,,
"13. Errors, empty states & system",Admin (admin),/admin/*,Text,admin.adminNote2,• يمكن للمشرفين التحقق من الموردين وإدارة طلبات الانضمام ورفع الحجب عن الجوائز,"• Admins can verify vendors, manage join requests, and unblock awards",client/src/lib/i18n.tsx,2137,,,
"13. Errors, empty states & system",Admin (admin),/admin/*,Text,admin.adminNote3,• جميع إجراءات المشرف مسجلة في سجل التدقيق,• All admin actions are logged in the audit trail,client/src/lib/i18n.tsx,2138,,,
"13. Errors, empty states & system",Admin (admin),/admin/*,Text,admin.adminNote4,• لا يمكن إلغاء صلاحيات المشرف من خلال هذه الواجهة (يتطلب الوصول إلى قاعدة البيانات),• Admin privileges cannot be revoked through this interface (requires database access),client/src/lib/i18n.tsx,2139,,,
"13. Errors, empty states & system",Admin (admin),/admin/*,Text,admin.adminPanel,لوحة المشرف,Admin Panel,client/src/lib/i18n.tsx,2146,,,
"13. Errors, empty states & system",Admin (admin),/admin/*,Text,admin.after,بعد:,After:,client/src/lib/i18n.tsx,2125,,,
"13. Errors, empty states & system",Admin (admin),/admin/*,Text,admin.allCompaniesReviewed,تمت مراجعة جميع الشركات,All companies have been reviewed,client/src/lib/i18n.tsx,2226,,,
"13. Errors, empty states & system",Admin (admin),/admin/*,Text,admin.allJoinRequestsProcessed,تمت معالجة جميع طلبات الانضمام,All join requests have been processed,client/src/lib/i18n.tsx,2216,,,
"13. Errors, empty states & system",Admin (admin),/admin/*,Text,admin.approve,موافقة,Approve,client/src/lib/i18n.tsx,2088,,,
"13. Errors, empty states & system",Admin (admin),/admin/*,Helper text,admin.approveJoinDesc,سيتم إضافة المورد إلى قاعدة موردي مقدم الطلب.,The vendor will be added to the requester's Vendors Base.,client/src/lib/i18n.tsx,2092,,,
"13. Errors, empty states & system",Admin (admin),/admin/*,Text,admin.approveJoinRequest,الموافقة على طلب الانضمام,Approve Join Request,client/src/lib/i18n.tsx,2090,,,
"13. Errors, empty states & system",Admin (admin),/admin/*,Text,admin.auditLogs,سجلات التدقيق,Audit Logs,client/src/lib/i18n.tsx,2118,,,
"13. Errors, empty states & system",Admin (admin),/admin/*,Helper text,admin.auditLogsDesc,تتبع جميع الإجراءات والتغييرات الإدارية,Track all administrative actions and changes,client/src/lib/i18n.tsx,2119,,,
"13. Errors, empty states & system",Admin (admin),/admin/*,Text,admin.awardUnblocked,تم رفع الحجب عن الجائزة,Award Unblocked,client/src/lib/i18n.tsx,2115,,,
"13. Errors, empty states & system",Admin (admin),/admin/*,Helper text,admin.awardUnblockedDesc,تم رفع الحجب عن الجائزة بنجاح.,The award has been successfully unblocked.,client/src/lib/i18n.tsx,2116,,,
"13. Errors, empty states & system",Admin (admin),/admin/*,Helper text,admin.awardVerifyAndUnblockedDesc,تم توثيق المورد وتم الإفراج عن الترسية الخاصة به.,The vendor has been verified and their award has been released.,client/src/lib/i18n.tsx,2253,,,
"13. Errors, empty states & system",Admin (admin),/admin/*,Heading / title,admin.awardVerifyAndUnblockedTitle,تم توثيق الشركة وإلغاء حظر الترسية,Company verified & award unblocked,client/src/lib/i18n.tsx,2252,One line preferred,,
"13. Errors, empty states & system",Admin (admin),/admin/*,Text,admin.backToDashboard,العودة إلى لوحة التحكم,Back to Dashboard,client/src/lib/i18n.tsx,2145,,,
"13. Errors, empty states & system",Admin (admin),/admin/*,Text,admin.basicInfo,المعلومات الأساسية,Basic Information,client/src/lib/i18n.tsx,2050,,,
"13. Errors, empty states & system",Admin (admin),/admin/*,Text,admin.before,قبل:,Before:,client/src/lib/i18n.tsx,2124,,,
"13. Errors, empty states & system",Admin (admin),/admin/*,Form label,admin.bioLabel,النبذة:,Bio:,client/src/lib/i18n.tsx,2055,,,
"13. Errors, empty states & system",Admin (admin),/admin/*,Text,admin.blocked,محجوب,Blocked,client/src/lib/i18n.tsx,2108,,,
"13. Errors, empty states & system",Admin (admin),/admin/*,Text,admin.blockedAwards,الجوائز المحجوبة,Blocked Awards,client/src/lib/i18n.tsx,2021,,,
"13. Errors, empty states & system",Admin (admin),/admin/*,Helper text,admin.blockedAwardsDesc,مراجعة ورفع الحجب عن الجوائز في انتظار التحقق من الموردين,Review and unblock awards awaiting vendor verification,client/src/lib/i18n.tsx,2106,,,
"13. Errors, empty states & system",Admin (admin),/admin/*,Text,admin.blockedAwardsManagement,إدارة الجوائز المحجوبة,Blocked Awards Management,client/src/lib/i18n.tsx,2105,,,
"13. Errors, empty states & system",Admin (admin),/admin/*,Text,admin.blockedBadge,محظور,Blocked,client/src/lib/i18n.tsx,2232,,,
"13. Errors, empty states & system",Admin (admin),/admin/*,Text,admin.blockedSince,محجوب منذ:,Blocked Since:,client/src/lib/i18n.tsx,2110,,,
"13. Errors, empty states & system",Admin (admin),/admin/*,Form label,admin.blockedSinceLabel,محظور منذ:,Blocked since:,client/src/lib/i18n.tsx,2190,,,
"13. Errors, empty states & system",Admin (admin),/admin/*,Text,admin.blockReason,سبب الحظر:,Block reason:,client/src/lib/i18n.tsx,2191,,,
"13. Errors, empty states & system",Admin (admin),/admin/*,Button / CTA,admin.cancel,إلغاء,Cancel,client/src/lib/i18n.tsx,2065,Button width — aim ≤ 25 chars,,
"13. Errors, empty states & system",Admin (admin),/admin/*,Text,admin.cannotUnblock,لا يمكن رفع الحجب (المورد غير موثق),Cannot Unblock (Vendor Not Verified),client/src/lib/i18n.tsx,2113,,,
"13. Errors, empty states & system",Admin (admin),/admin/*,Helper text,admin.cannotUnblockDesc,لا يمكن رفع الحجب عن هذه الجائزة إلا بعد التحقق من المورد.,This award can only be unblocked after the vendor is verified.,client/src/lib/i18n.tsx,2114,,,
"13. Errors, empty states & system",Admin (admin),/admin/*,Form label,admin.categoryLabel,الفئة:,Category:,client/src/lib/i18n.tsx,2043,,,
"13. Errors, empty states & system",Admin (admin),/admin/*,Text,admin.city,المدينة:,City:,client/src/lib/i18n.tsx,2042,,,
"13. Errors, empty states & system",Admin (admin),/admin/*,Text,admin.close,إغلاق,Close,client/src/lib/i18n.tsx,2060,,,
"13. Errors, empty states & system",Admin (admin),/admin/*,Text,admin.companyDetails,تفاصيل الشركة,Company Details,client/src/lib/i18n.tsx,2048,,,
"13. Errors, empty states & system",Admin (admin),/admin/*,Helper text,admin.companyDetailsDesc,معلومات كاملة عن هذه الشركة,Full information about this company,client/src/lib/i18n.tsx,2049,,,
"13. Errors, empty states & system",Admin (admin),/admin/*,Text,admin.companyInformation,معلومات الشركة,Company Information,client/src/lib/i18n.tsx,2194,,,
"13. Errors, empty states & system",Admin (admin),/admin/*,Form label,admin.companyNameLabel,اسم الشركة:,Company Name:,client/src/lib/i18n.tsx,2051,,,
"13. Errors, empty states & system",Admin (admin),/admin/*,Text,admin.companyRejected,تم رفض الشركة,Company Rejected,client/src/lib/i18n.tsx,2076,,,
"13. Errors, empty states & system",Admin (admin),/admin/*,Helper text,admin.companyRejectedDesc,تم رفض طلب الشركة.,The company application has been rejected.,client/src/lib/i18n.tsx,2077,,,
"13. Errors, empty states & system",Admin (admin),/admin/*,Text,admin.companyVerificationQueue,قائمة انتظار التحقق من الشركات,Company Verification Queue,client/src/lib/i18n.tsx,2036,,,
"13. Errors, empty states & system",Admin (admin),/admin/*,Helper text,admin.companyVerificationQueueDesc,مراجعة والموافقة على تسجيلات الشركات المعلقة,Review and approve pending company registrations,client/src/lib/i18n.tsx,2037,,,
"13. Errors, empty states & system",Admin (admin),/admin/*,Text,admin.companyVerified,تم التحقق من الشركة,Company Verified,client/src/lib/i18n.tsx,2074,,,
"13. Errors, empty states & system",Admin (admin),/admin/*,Helper text,admin.companyVerifiedDesc,تم التحقق من الشركة بنجاح.,The company has been successfully verified.,client/src/lib/i18n.tsx,2075,,,
"13. Errors, empty states & system",Admin (admin),/admin/*,Text,admin.couldNotOpenFile,تعذّر فتح الملف,Could not open file,client/src/lib/i18n.tsx,2261,,,
"13. Errors, empty states & system",Admin (admin),/admin/*,Form label,admin.createdLabel,تاريخ الإنشاء:,Created:,client/src/lib/i18n.tsx,2059,,,
"13. Errors, empty states & system",Admin (admin),/admin/*,Text,admin.crHash,السجل التجاري:,CR #:,client/src/lib/i18n.tsx,2223,,,
"13. Errors, empty states & system",Admin (admin),/admin/*,Text,admin.crNumber,رقم السجل التجاري:,CR Number:,client/src/lib/i18n.tsx,2040,,,
"13. Errors, empty states & system",Admin (admin),/admin/*,Text,admin.dismissAward,إلغاء الترسية,Dismiss Award,client/src/lib/i18n.tsx,2237,,,
"13. Errors, empty states & system",Admin (admin),/admin/*,Button / CTA,admin.dismissAwardBtn,إلغاء الترسية,Dismiss Award,client/src/lib/i18n.tsx,2249,Button width — aim ≤ 25 chars,,
"13. Errors, empty states & system",Admin (admin),/admin/*,Text,admin.dismissBlockedAward,تجاهل الترسية المحظورة,Dismiss Blocked Award,client/src/lib/i18n.tsx,2199,,,
"13. Errors, empty states & system",Admin (admin),/admin/*,Helper text,admin.dismissBlockedAwardDesc,سيؤدي هذا إلى إزالة الترسية المحظورة لـ {tender}. لن يستلم المورد الترسية.,This will remove the blocked award for {tender}. The vendor will not receive the award.,client/src/lib/i18n.tsx,2246,,{tender},
"13. Errors, empty states & system",Admin (admin),/admin/*,Heading / title,admin.dismissBlockedAwardTitle,إلغاء الترسية المحظورة,Dismiss Blocked Award,client/src/lib/i18n.tsx,2245,One line preferred,,
"13. Errors, empty states & system",Admin (admin),/admin/*,Text,admin.dismissCannotUndo,لا يمكن التراجع عن هذا الإجراء. سيحتاج طالب المنافسة إلى ترسية المنافسة على مورد آخر.,This action cannot be undone. The requester will need to award the tender to a different vendor.,client/src/lib/i18n.tsx,2247,,,
"13. Errors, empty states & system",Admin (admin),/admin/*,Text,admin.dismissing,جارٍ الإلغاء...,Dismissing...,client/src/lib/i18n.tsx,2248,,,
"13. Errors, empty states & system",Admin (admin),/admin/*,Form label,admin.displayNameLabel,الاسم المعروض:,Display Name:,client/src/lib/i18n.tsx,2054,,,
"13. Errors, empty states & system",Admin (admin),/admin/*,Form label,admin.documentLabel,مستند,Document,client/src/lib/i18n.tsx,2229,,,
"13. Errors, empty states & system",Admin (admin),/admin/*,Button / CTA,admin.downloadBtn,تنزيل,Download,client/src/lib/i18n.tsx,2180,Button width — aim ≤ 25 chars,,
"13. Errors, empty states & system",Admin (admin),/admin/*,Form label,admin.emailLabel,البريد الإلكتروني:,Email:,client/src/lib/i18n.tsx,2095,,,
"13. Errors, empty states & system",Admin (admin),/admin/*,Error message,admin.error,خطأ,Error,client/src/lib/i18n.tsx,2143,,,
"13. Errors, empty states & system",Admin (admin),/admin/*,Error message,admin.failedApproveJoin,فشل الموافقة على طلب الانضمام.,Failed to approve join request.,client/src/lib/i18n.tsx,2101,,,
"13. Errors, empty states & system",Admin (admin),/admin/*,Error message,admin.failedPromoteUser,فشل ترقية المستخدم. يرجى التحقق من معرف المستخدم والمحاولة مرة أخرى.,Failed to promote user. Please check the user ID and try again.,client/src/lib/i18n.tsx,2142,,,
"13. Errors, empty states & system",Admin (admin),/admin/*,Error message,admin.failedRejectCompany,فشل رفض الشركة.,Failed to reject company.,client/src/lib/i18n.tsx,2079,,,
"13. Errors, empty states & system",Admin (admin),/admin/*,Error message,admin.failedRejectJoin,فشل رفض طلب الانضمام.,Failed to reject join request.,client/src/lib/i18n.tsx,2104,,,
"13. Errors, empty states & system",Admin (admin),/admin/*,Error message,admin.failedUnblockAward,فشل رفع الحجب عن الجائزة.,Failed to unblock award.,client/src/lib/i18n.tsx,2117,,,
"13. Errors, empty states & system",Admin (admin),/admin/*,Error message,admin.failedVerifyCompany,فشل التحقق من الشركة.,Failed to verify company.,client/src/lib/i18n.tsx,2078,,,
"13. Errors, empty states & system",Admin (admin),/admin/*,Text,admin.importantNotes,ملاحظات مهمة,Important Notes,client/src/lib/i18n.tsx,2135,,,
"13. Errors, empty states & system",Admin (admin),/admin/*,Text,admin.itemNeedsAttention,{count} عنصر يحتاج إلى انتباهك,{count} item needs your attention,client/src/lib/i18n.tsx,2169,,{count},
"13. Errors, empty states & system",Admin (admin),/admin/*,Text,admin.itemsNeedAttention,{count} عناصر تحتاج إلى انتباهك,{count} items need your attention,client/src/lib/i18n.tsx,2170,,{count},
"13. Errors, empty states & system",Admin (admin),/admin/*,Text,admin.joinedOn,انضم في {date},Joined {date},client/src/lib/i18n.tsx,2210,,{date},
"13. Errors, empty states & system",Admin (admin),/admin/*,Text,admin.joinRequestApproved,تمت الموافقة على طلب الانضمام,Join Request Approved,client/src/lib/i18n.tsx,2099,,,
"13. Errors, empty states & system",Admin (admin),/admin/*,Helper text,admin.joinRequestApprovedDesc,تمت إضافة المورد إلى قاعدة مقدم الطلب.,The vendor has been added to the requester's base.,client/src/lib/i18n.tsx,2100,,,
"13. Errors, empty states & system",Admin (admin),/admin/*,Text,admin.joinRequestRejected,تم رفض طلب الانضمام,Join Request Rejected,client/src/lib/i18n.tsx,2102,,,
"13. Errors, empty states & system",Admin (admin),/admin/*,Helper text,admin.joinRequestRejectedDesc,تم رفض طلب الانضمام.,The join request has been rejected.,client/src/lib/i18n.tsx,2103,,,
"13. Errors, empty states & system",Admin (admin),/admin/*,Text,admin.joinRequests,طلبات الانضمام,Join Requests,client/src/lib/i18n.tsx,2019,,,
"13. Errors, empty states & system",Admin (admin),/admin/*,Text,admin.joinRequestsManagement,إدارة طلبات الانضمام,Join Requests Management,client/src/lib/i18n.tsx,2080,,,
"13. Errors, empty states & system",Admin (admin),/admin/*,Helper text,admin.joinRequestsManagementDesc,مراجعة وإدارة طلبات انضمام قاعدة الموردين,Review and manage vendor base join requests,client/src/lib/i18n.tsx,2081,,,
"13. Errors, empty states & system",Admin (admin),/admin/*,Text,admin.legalName,الاسم القانوني:,Legal Name:,client/src/lib/i18n.tsx,2039,,,
"13. Errors, empty states & system",Admin (admin),/admin/*,Text,admin.loadingDocuments,جارٍ تحميل المستندات...,Loading documents...,client/src/lib/i18n.tsx,2195,,,
"13. Errors, empty states & system",Admin (admin),/admin/*,Text,admin.loadingEllipsis,جارٍ التحميل...,Loading...,client/src/lib/i18n.tsx,2204,,,
"13. Errors, empty states & system",Admin (admin),/admin/*,Text,admin.loadingFile,جارٍ تحميل الملف...,Loading file...,client/src/lib/i18n.tsx,2218,,,
"13. Errors, empty states & system",Admin (admin),/admin/*,Text,admin.manageJoinRequests,إدارة طلبات الانضمام,Manage Join Requests,client/src/lib/i18n.tsx,2027,,,
"13. Errors, empty states & system",Admin (admin),/admin/*,Helper text,admin.manageJoinRequestsDesc,الموافقة أو رفض طلبات قاعدة الموردين,Approve or reject vendor base applications,client/src/lib/i18n.tsx,2028,,,
"13. Errors, empty states & system",Admin (admin),/admin/*,Text,admin.marketplaceRequests,طلبات ساحة الفرص,Marketplace Requests,client/src/lib/i18n.tsx,2022,,,
"13. Errors, empty states & system",Admin (admin),/admin/*,Text,admin.missingCr,السجل التجاري مفقود,Missing CR,client/src/lib/i18n.tsx,2222,,,
"13. Errors, empty states & system",Admin (admin),/admin/*,Text,admin.na,غير متاح,N/A,client/src/lib/i18n.tsx,2052,,,
"13. Errors, empty states & system",Admin (admin),/admin/*,Form label,admin.nameLabel,الاسم:,Name:,client/src/lib/i18n.tsx,2175,,,
"13. Errors, empty states & system",Admin (admin),/admin/*,Text,admin.navAuditLogs,سجلات التدقيق,Audit Logs,client/src/lib/i18n.tsx,2161,,,
"13. Errors, empty states & system",Admin (admin),/admin/*,Text,admin.navBlockedAwards,الترسيات المحظورة,Blocked Awards,client/src/lib/i18n.tsx,2159,,,
"13. Errors, empty states & system",Admin (admin),/admin/*,Text,admin.navCompanyVerification,التحقق من الشركات,Company Verification,client/src/lib/i18n.tsx,2156,,,
"13. Errors, empty states & system",Admin (admin),/admin/*,Text,admin.navDashboard,لوحة التحكم,Dashboard,client/src/lib/i18n.tsx,2151,,,
"13. Errors, empty states & system",Admin (admin),/admin/*,Error message,admin.navErrorLogs,سجلات الأخطاء,Error Logs,client/src/lib/i18n.tsx,2162,,,
"13. Errors, empty states & system",Admin (admin),/admin/*,Text,admin.navFreelancerVerification,التحقق من المستقلين,Freelancer Verification,client/src/lib/i18n.tsx,2157,,,
"13. Errors, empty states & system",Admin (admin),/admin/*,Text,admin.navLogout,تسجيل الخروج,Logout,client/src/lib/i18n.tsx,2163,,,
"13. Errors, empty states & system",Admin (admin),/admin/*,Text,admin.navMarketplace,السوق,Marketplace,client/src/lib/i18n.tsx,2158,,,
"13. Errors, empty states & system",Admin (admin),/admin/*,Notification,admin.navNotifications,الإشعارات,Notifications,client/src/lib/i18n.tsx,2152,Toast — ~2 lines max,,
"13. Errors, empty states & system",Admin (admin),/admin/*,Text,admin.navOperations,العمليات,Operations,client/src/lib/i18n.tsx,2149,,,
"13. Errors, empty states & system",Admin (admin),/admin/*,Text,admin.navOverview,نظرة عامة,Overview,client/src/lib/i18n.tsx,2148,,,
"13. Errors, empty states & system",Admin (admin),/admin/*,Text,admin.navSystem,النظام,System,client/src/lib/i18n.tsx,2150,,,
"13. Errors, empty states & system",Admin (admin),/admin/*,Text,admin.navUserManagement,إدارة المستخدمين,User Management,client/src/lib/i18n.tsx,2160,,,
"13. Errors, empty states & system",Admin (admin),/admin/*,Empty state,admin.noAuditLogs,لم يتم العثور على سجلات تدقيق,No audit logs found,client/src/lib/i18n.tsx,2120,,,
"13. Errors, empty states & system",Admin (admin),/admin/*,Empty state,admin.noBlockedAwards,لا توجد جوائز محجوبة,No blocked awards,client/src/lib/i18n.tsx,2107,,,
"13. Errors, empty states & system",Admin (admin),/admin/*,Helper text,admin.noBlockedAwardsDesc,لا توجد ترسيات محظورة حاليًا,No awards are currently blocked,client/src/lib/i18n.tsx,2186,,,
"13. Errors, empty states & system",Admin (admin),/admin/*,Empty state,admin.noCompaniesStatus,لا توجد شركات بهذه الحالة,No companies with this status,client/src/lib/i18n.tsx,2227,,,
"13. Errors, empty states & system",Admin (admin),/admin/*,Empty state,admin.noDocumentsBadge,لا توجد مستندات,No documents,client/src/lib/i18n.tsx,2221,,,
"13. Errors, empty states & system",Admin (admin),/admin/*,Empty state,admin.noDocumentsUploaded,لم يتم رفع أي مستندات,No documents uploaded,client/src/lib/i18n.tsx,2177,,,
"13. Errors, empty states & system",Admin (admin),/admin/*,Helper text,admin.noDocumentsUploadedDesc,لم تقدّم هذه الشركة أي مستندات للتحقق.,This company has not submitted any verification documents.,client/src/lib/i18n.tsx,2178,,,
"13. Errors, empty states & system",Admin (admin),/admin/*,Empty state,admin.noDocumentsVendor,لم يقدّم هذا المورد أي مستندات للتحقق.,This vendor has not submitted any verification documents.,client/src/lib/i18n.tsx,2196,,,
"13. Errors, empty states & system",Admin (admin),/admin/*,Empty state,admin.noPendingJoinRequests,لا توجد طلبات انضمام معلقة,No pending join requests,client/src/lib/i18n.tsx,2082,,,
"13. Errors, empty states & system",Admin (admin),/admin/*,Empty state,admin.noPendingVerifications,لا توجد تحققات شركات معلقة,No pending company verifications,client/src/lib/i18n.tsx,2038,,,
"13. Errors, empty states & system",Admin (admin),/admin/*,Empty state,admin.noResultsFor,"لا نتائج لـ \""{query}\""","No results for \""{query}\""",client/src/lib/i18n.tsx,2225,,{query},
"13. Errors, empty states & system",Admin (admin),/admin/*,Form label,admin.notesLabel,الملاحظات:,Notes:,client/src/lib/i18n.tsx,2123,,,
"13. Errors, empty states & system",Admin (admin),/admin/*,Text,admin.notesOptional,الملاحظات (اختياري),Notes (Optional),client/src/lib/i18n.tsx,2063,,,
"13. Errors, empty states & system",Admin (admin),/admin/*,Form label,admin.notesOptionalLabel,ملاحظات (اختياري),Notes (optional),client/src/lib/i18n.tsx,2241,,,
"13. Errors, empty states & system",Admin (admin),/admin/*,Empty state,admin.noUsersFound,لم يتم العثور على مستخدمين,No users found,client/src/lib/i18n.tsx,2208,,,
"13. Errors, empty states & system",Admin (admin),/admin/*,Empty state,admin.noUsersMatching,"لم يتم العثور على مستخدمين مطابقين لـ \""{query}\""","No users found matching \""{query}\""",client/src/lib/i18n.tsx,2207,,{query},
"13. Errors, empty states & system",Admin (admin),/admin/*,Form label,admin.onboardingLabel,الإعداد:,Onboarding:,client/src/lib/i18n.tsx,2058,,,
"13. Errors, empty states & system",Admin (admin),/admin/*,Text,admin.ownerSection,المالك,Owner,client/src/lib/i18n.tsx,2174,,,
"13. Errors, empty states & system",Admin (admin),/admin/*,Text,admin.pendingBadge,معلق,Pending,client/src/lib/i18n.tsx,2083,,,
"13. Errors, empty states & system",Admin (admin),/admin/*,Text,admin.pendingVerifications,التحقق المعلق,Pending Verifications,client/src/lib/i18n.tsx,2018,,,
"13. Errors, empty states & system",Admin (admin),/admin/*,Text,admin.platformAdmin,مشرف المنصة,Platform admin,client/src/lib/i18n.tsx,2202,,,
"13. Errors, empty states & system",Admin (admin),/admin/*,Text,admin.platformManagement,إدارة المنصة,Platform management,client/src/lib/i18n.tsx,2147,,,
"13. Errors, empty states & system",Admin (admin),/admin/*,Text,admin.platformUsers,مستخدمو المنصة,Platform Users,client/src/lib/i18n.tsx,2203,,,
"13. Errors, empty states & system",Admin (admin),/admin/*,Text,admin.popupBlocked,النوافذ المنبثقة محجوبة — يُرجى السماح بالنوافذ المنبثقة,Popup blocked — please allow popups,client/src/lib/i18n.tsx,2260,,,
"13. Errors, empty states & system",Admin (admin),/admin/*,Text,admin.previousRejection,الرفض السابق:,Previous rejection:,client/src/lib/i18n.tsx,2173,,,
"13. Errors, empty states & system",Admin (admin),/admin/*,Text,admin.previousRejectionReason,سبب الرفض السابق,Previous Rejection Reason,client/src/lib/i18n.tsx,2228,,,
"13. Errors, empty states & system",Admin (admin),/admin/*,Text,admin.processing,جارٍ المعالجة...,Processing...,client/src/lib/i18n.tsx,2098,,,
"13. Errors, empty states & system",Admin (admin),/admin/*,Text,admin.processingEllipsis,جارٍ المعالجة...,Processing...,client/src/lib/i18n.tsx,2243,,,
"13. Errors, empty states & system",Admin (admin),/admin/*,Text,admin.profileSection,الملف الشخصي,Profile,client/src/lib/i18n.tsx,2053,,,
"13. Errors, empty states & system",Admin (admin),/admin/*,Button / CTA,admin.promoteBtn,ترقية,Promote,client/src/lib/i18n.tsx,2211,Button width — aim ≤ 25 chars,,
"13. Errors, empty states & system",Admin (admin),/admin/*,Text,admin.promoteToAdmin,ترقية إلى مشرف,Promote to Admin,client/src/lib/i18n.tsx,2134,,,
"13. Errors, empty states & system",Admin (admin),/admin/*,Helper text,admin.promoteUserDesc,منح صلاحيات المشرف لمستخدم موجود. سيسمح له ذلك بالوصول إلى لوحة المشرف وتنفيذ العمليات الإدارية.,Grant admin privileges to an existing user. This will allow them to access the admin panel and perform administrative operations.,client/src/lib/i18n.tsx,2129,,,
"13. Errors, empty states & system",Admin (admin),/admin/*,Text,admin.promoteUserToAdmin,ترقية مستخدم إلى مشرف,Promote User to Admin,client/src/lib/i18n.tsx,2128,,,
"13. Errors, empty states & system",Admin (admin),/admin/*,Text,admin.promoting,جارٍ الترقية...,Promoting...,client/src/lib/i18n.tsx,2133,,,
"13. Errors, empty states & system",Admin (admin),/admin/*,Text,admin.proposals24h,العروض (24 ساعة),Proposals (24h),client/src/lib/i18n.tsx,2020,,,
"13. Errors, empty states & system",Admin (admin),/admin/*,Form label,admin.proposals24hLabel,العروض (24 ساعة),Proposals (24h),client/src/lib/i18n.tsx,2168,,,
"13. Errors, empty states & system",Admin (admin),/admin/*,Text,admin.quickActions,إجراءات سريعة,Quick Actions,client/src/lib/i18n.tsx,2023,,,
"13. Errors, empty states & system",Admin (admin),/admin/*,Helper text,admin.quickActionsDesc,عمليات المشرف الأكثر استخداماً,Frequently used admin operations,client/src/lib/i18n.tsx,2024,,,
"13. Errors, empty states & system",Admin (admin),/admin/*,Text,admin.reason,السبب:,Reason:,client/src/lib/i18n.tsx,2111,,,
"13. Errors, empty states & system",Admin (admin),/admin/*,Text,admin.reject,رفض,Reject,client/src/lib/i18n.tsx,2047,,,
"13. Errors, empty states & system",Admin (admin),/admin/*,Text,admin.rejectCompany,رفض الشركة,Reject Company,client/src/lib/i18n.tsx,2068,,,
"13. Errors, empty states & system",Admin (admin),/admin/*,Button / CTA,admin.rejectCompanyBtn,رفض الشركة,Reject Company,client/src/lib/i18n.tsx,2073,Button width — aim ≤ 25 chars,,
"13. Errors, empty states & system",Admin (admin),/admin/*,Helper text,admin.rejectCompanyDesc,رفض تسجيل هذه الشركة. يرجى تقديم سبب.,Reject this company registration. Please provide a reason.,client/src/lib/i18n.tsx,2069,,,
